3.31,677.209,310.005,32.74,615.905,3493.78
3.372,690.901,308.059,32.247,629.058,3493.78
3.409,699.208,306.887,31.904,637.057,3493.78
3.465,711.596,305.149,31.373,649.013,3493.78
3.501,719.467,304.051,31.124,656.624,3493.78
3.555,731.209,302.422,30.909,668.001,3493.78
3.603,741.522,301.001,30.565,678.017,3493.78
3.674,756.878,298.898,29.91,692.976,3493.78
3.771,777.459,296.11,29.641,713.102,3493.78
3.871,798.481,293.294,28.649,733.755,3493.78
3.971,819.254,290.536,28.178,754.263,3493.78
4.071,839.784,287.837,27.673,774.629,3493.78
4.171,860.075,285.191,27.13,794.857,3493.78
4.271,880.129,282.599,26.592,814.951,3493.78
4.371,899.953,280.056,26.278,834.912,3493.78
4.471,919.549,277.558,25.734,854.744,3493.78
4.571,938.92,275.106,25.361,874.45,3493.78
4.671,958.07,272.7,24.791,894.033,3493.78
4.771,977.002,270.341,24.428,913.495,3493.78
4.871,995.721,268.027,24.057,932.84,3493.78
4.971,1014.228,265.749,23.837,952.069,3493.78
5.071,1032.526,263.51,23.23,971.185,3493.78
5.171,1050.62,261.306,23.219,990.191,3493.78
5.271,1068.509,259.14,22.462,1009.088,3493.78
5.371,1086.198,257.012,22.452,1027.879,3493.78
5.471,1103.689,254.923,21.914,1046.567,3493.78
5.571,1120.986,252.868,21.686,1065.153,3493.78
5.671,1138.091,250.841,21.487,1083.639,3493.78
5.771,1155.004,248.844,21.122,1102.027,3493.78
5.871,1171.729,246.881,20.765,1120.32,3493.78
5.971,1188.268,244.945,20.71,1138.518,3493.78
6.071,1204.624,243.032,20.447,1156.623,3493.78
6.171,1220.797,241.145,20.142,1174.637,3493.78
6.271,1236.788,239.285,19.883,1192.561,3493.78
6.371,1252.602,237.451,19.736,1210.397,3493.78
6.471,1268.239,235.646,19.318,1228.146,3493.78
6.571,1283.702,233.862,19.357,1245.809,3493.78
6.671,1298.992,232.097,19.134,1263.388,3493.78
6.771,1314.109,230.354,18.813,1280.884,3493.78
6.871,1329.056,228.632,18.716,1298.298,3493.78
6.971,1343.835,226.934,18.479,1315.631,3493.78
7.071,1358.447,225.255,18.326,1332.884,3493.78
7.171,1372.894,223.596,18.198,1350.058,3493.78
7.271,1387.175,221.959,17.902,1367.156,3493.78
7.371,1401.295,220.342,17.793,1384.176,3493.78
7.471,1415.254,218.743,17.681,1401.121,3493.78
7.571,1429.052,217.162,17.517,1417.992,3493.78
